SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1086,Oldham County,Kentucky,847,61412,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1087,Owen County,Kentucky,2377,10765,,
1088,Owsley County,Kentucky,2857,4722,,
1089,Pendleton County,Kentucky,2132,14604,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1090,Perry County,Kentucky,1482,28241,,
1091,Pike County,Kentucky,819,64178,,
1092,Powell County,Kentucky,2274,12483,,
1093,Pulaski County,Kentucky,824,63593,"Somerset, KY Micropolitan Statistical Area",
1094,Robertson County,Kentucky,3037,2188,,
1095,Rockcastle County,Kentucky,1981,17006,"Richmond-Berea, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1096,Rowan County,Kentucky,1665,23447,,
1097,Russell County,Kentucky,1952,17497,,
1098,Scott County,Kentucky,999,49057,"Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1099,Shelby County,Kentucky,1096,43614,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1100,Simpson County,Kentucky,1946,17538,,
1101,Spencer County,Kentucky,1958,17416,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1102,Taylor County,Kentucky,1617,24691,"Campbellsville, KY Micropolitan Statistical Area",
1103,Todd County,Kentucky,2264,12651,,
1104,Trigg County,Kentucky,2142,14447,"Clarksville, TN-KY Metropolitan Statistical Area",
1105,Trimble County,Kentucky,2535,8787,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1106,Union County,Kentucky,2119,14850,,
1107,Warren County,Kentucky,520,"1,17,110","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
1108,Washington County,Kentucky,2308,11833,,
1109,Wayne County,Kentucky,1787,20824,,
1110,Webster County,Kentucky,2209,13583,,
1111,Whitley County,Kentucky,1288,35499,"London, KY Micropolitan Statistical Area",
1112,Wolfe County,Kentucky,2662,7164,,
1113,Woodford County,Kentucky,1606,25077,"Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1114,Acadia Parish,Louisiana,841,61912,"Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1115,Allen Parish,Louisiana,1584,25539,,
1116,Ascension Parish,Louisiana,533,"1,12,286","Baton Rouge, LA Metropolitan Statistical Area",
1117,Assumption Parish,Louisiana,1689,23026,,
1118,Avoyelles Parish,Louisiana,1138,41632,,
1119,Beauregard Parish,Louisiana,1270,36281,"DeRidder, LA Micropolitan Statistical Area","DeRidder-Fort Polk South, LA Combined Statistical Area"
1120,Bienville Parish,Louisiana,2170,14076,,
1121,Bossier Parish,Louisiana,501,"1,22,197","Shreveport-Bossier City, LA Metropolitan Statistical Area",
1122,Caddo Parish,Louisiana,257,"2,57,093","Shreveport-Bossier City, LA Metropolitan Statistical Area",
1123,Calcasieu Parish,Louisiana,326,"1,94,493","Lake Charles, LA Metropolitan Statistical Area",
1124,Caldwell Parish,Louisiana,2443,10004,,
1125,Cameron Parish,Louisiana,2708,6702,"Lake Charles, LA Metropolitan Statistical Area",
1126,Catahoula Parish,Louisiana,2416,10292,,
1127,Claiborne Parish,Louisiana,1992,16828,,
1128,Concordia Parish,Louisiana,1822,20365,"Natchez, MS-LA Micropolitan Statistical Area",
1129,De Soto Parish,Louisiana,1531,26963,"Shreveport-Bossier City, LA Metropolitan Statistical Area",
1130,East Baton Rouge Parish,Louisiana,150,"4,44,526","Baton Rouge, LA Metropolitan Statistical Area",
1131,East Carroll Parish,Louisiana,2638,7526,,
1132,East Feliciana Parish,Louisiana,1840,20008,"Baton Rouge, LA Metropolitan Statistical Area",
1133,Evangeline Parish,Louisiana,1334,33710,,
1134,Franklin Parish,Louisiana,1809,20561,,
1135,Grant Parish,Louisiana,1727,22068,"Alexandria, LA Metropolitan Statistical Area",
1136,Iberia Parish,Louisiana,737,73999,"Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1137,Iberville Parish,Louisiana,1347,33228,"Baton Rouge, LA Metropolitan Statistical Area",
1138,Jackson Parish,Louisiana,2030,16216,,
1139,Jefferson Parish,Louisiana,156,"4,33,676","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1140,Jefferson Davis Parish,Louisiana,1404,31432,,
1141,Lafayette Parish,Louisiana,283,"2,27,055","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1142,Lafourche Parish,Louisiana,602,97029,"Houma-Thibodaux, LA Metropolitan Statistical Area",
1143,LaSalle Parish,Louisiana,2113,14927,,
1144,Lincoln Parish,Louisiana,1028,46953,"Ruston, LA Micropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
1145,Livingston Parish,Louisiana,474,"1,31,942","Baton Rouge, LA Metropolitan Statistical Area",
1146,Madison Parish,Louisiana,2290,12154,,
1147,Morehouse Parish,Louisiana,1510,27559,"Bastrop, LA Micropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
1148,Natchitoches Parish,Louisiana,1184,39436,"Natchitoches, LA Micropolitan Statistical Area",
1149,Orleans Parish,Louisiana,179,"3,69,250","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1150,Ouachita Parish,Louisiana,405,"1,55,363","Monroe, LA Metropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
1151,Plaquemines Parish,Louisiana,1647,23921,"New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1152,Pointe Coupee Parish,Louisiana,1699,22726,"Baton Rouge, LA Metropolitan Statistical Area",
1153,Rapides Parish,Louisiana,472,"1,32,373","Alexandria, LA Metropolitan Statistical Area",
1154,Red River Parish,Louisiana,2523,8983,,
1155,Richland Parish,Louisiana,1782,20921,,
1156,Sabine Parish,Louisiana,1632,24325,,
1157,St. Bernard Parish,Louisiana,1137,41635,"New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1158,St. Charles Parish,Louisiana,945,52681,"New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1159,St. Helena Parish,Louisiana,2353,11071,"Baton Rouge, LA Metropolitan Statistical Area",
1160,St. James Parish,Louisiana,1743,21722,"New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1161,St. John the Baptist Parish,Louisiana,1073,44758,"New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1162,St. Landry Parish,Louisiana,669,83662,"Opelousas, LA Micropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1163,St. Martin Parish,Louisiana,943,52726,"Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1164,St. Mary Parish,Louisiana,928,53697,"Morgan City, LA Micropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1165,St. Tammany Parish,Louisiana,271,"2,39,453","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1166,Tangipahoa Parish,Louisiana,495,"1,23,441","Hammond, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1167,Tensas Parish,Louisiana,2840,4954,,
1168,Terrebonne Parish,Louisiana,538,"1,11,893","Houma-Thibodaux, LA Metropolitan Statistical Area",
1169,Union Parish,Louisiana,1714,22419,"Monroe, LA Metropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
1170,Vermilion Parish,Louisiana,878,58723,"Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
1171,Vernon Parish,Louisiana,927,53869,"Fort Polk South, LA Micropolitan Statistical Area","DeRidder-Fort Polk South, LA Combined Statistical Area"
1172,Washington Parish,Louisiana,1036,46670,"Bogalusa, LA Micropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
1173,Webster Parish,Louisiana,1154,40940,"Shreveport-Bossier City, LA Metropolitan Statistical Area",
1174,West Baton Rouge Parish,Louisiana,1638,24106,"Baton Rouge, LA Metropolitan Statistical Area",
1175,West Carroll Parish,Louisiana,2327,11512,,
1176,West Feliciana Parish,Louisiana,2078,15405,"Baton Rouge, LA Metropolitan Statistical Area",
1177,Winn Parish,Louisiana,2107,15000,,
1178,Androscoggin County,Maine,551,"1,07,609","Lewiston-Auburn, ME Metropolitan Statistical Area","Portland-Lewiston-South Portland, ME Combined Statistical Area"
1179,Aroostook County,Maine,754,70868,,
1180,Cumberland County,Maine,231,"2,83,921","Portland-South Portland, ME Metropolitan Statistical Area","Portland-Lewiston-South Portland, ME Combined Statistical Area"
1181,Franklin County,Maine,1417,30630,,
1182,Hancock County,Maine,916,54558,,
1183,Kennebec County,Maine,504,"1,21,853","Augusta-Waterville, ME Micropolitan Statistical Area",
1184,Knox County,Maine,1177,39668,,
1185,Lincoln County,Maine,1324,34180,,
1186,Oxford County,Maine,887,57481,,
1187,Penobscot County,Maine,411,"1,53,746","Bangor, ME Metropolitan Statistical Area",
1188,Piscataquis County,Maine,1963,17290,,
1189,Sagadahoc County,Maine,1297,35191,"Portland-South Portland, ME Metropolitan Statistical Area","Portland-Lewiston-South Portland, ME Combined Statistical Area"
1190,Somerset County,Maine,956,51910,,
1191,Waldo County,Maine,1201,38820,,
1192,Washington County,Maine,1378,32462,,
1193,York County,Maine,320,"1,99,005","Portland-South Portland, ME Metropolitan Statistical Area","Portland-Lewiston-South Portland, ME Combined Statistical Area"
1194,Allegany County,Maryland,736,74012,"Cumberland, MD-WV Metropolitan Statistical Area",
1195,Anne Arundel County,Maryland,113,"5,50,488","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1196,Baltimore County,Maryland,69,"8,17,455","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1197,Calvert County,Maryland,638,89628,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1198,Caroline County,Maryland,1363,32718,,
1199,Carroll County,Maryland,375,"1,67,217","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1200,Cecil County,Maryland,575,"1,01,696","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
1201,Charles County,Maryland,420,"1,50,592","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1202,Dorchester County,Maryland,1372,32551,"Cambridge, MD Micropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1203,Frederick County,Maryland,270,"2,39,582","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1204,Garrett County,Maryland,1428,29854,,
1205,Harford County,Maryland,265,"2,48,622","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1206,Howard County,Maryland,218,"2,99,430","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1207,Kent County,Maryland,1832,20191,,
1208,Montgomery County,Maryland,40,"10,04,709","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1209,Prince George's County,Maryland,58,"8,81,138","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1210,Queen Anne's County,Maryland,1004,48595,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1211,St. Mary's County,Maryland,544,"1,08,987","California-Lexington Park, MD Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1212,Somerset County,Maryland,1550,26253,"Salisbury, MD-DE Metropolitan Statistical Area",
1213,Talbot County,Maryland,1216,38098,"Easton, MD Micropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1214,Washington County,Maryland,422,"1,49,180","Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1215,Wicomico County,Maryland,584,"1,00,647","Salisbury, MD-DE Metropolitan Statistical Area",
1216,Worcester County,Maryland,962,51578,"Salisbury, MD-DE Metropolitan Statistical Area",
1217,"Baltimore, City of",Maryland,104,"6,21,342","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
1218,Barnstable County,Massachusetts,290,"2,15,423","Barnstable Town, MA Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
1219,Berkshire County,Massachusetts,480,"1,30,016","Pittsfield, MA Metropolitan Statistical Area",
1220,Bristol County,Massachusetts,112,"5,51,082","Providence-Warwick, RI-MA Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
1221,Dukes County,Massachusetts,1977,17041,"Vineyard Haven, MA Micropolitan Statistical Area",
1222,Essex County,Massachusetts,77,"7,55,618","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
1223,Franklin County,Massachusetts,751,71540,"Greenfield Town, MA Micropolitan Statistical Area","Springfield-Greenfield Town, MA Combined Statistical Area"
1224,Hampden County,Massachusetts,144,"4,65,923","Springfield, MA Metropolitan Statistical Area","Springfield-Greenfield Town, MA Combined Statistical Area"
1225,Hampshire County,Massachusetts,395,"1,59,795","Springfield, MA Metropolitan Statistical Area","Springfield-Greenfield Town, MA Combined Statistical Area"
1226,Middlesex County,Massachusetts,23,"15,37,215","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
1227,"Nantucket, Town and County of",Massachusetts,2415,10298,,
1228,Norfolk County,Massachusetts,90,"6,81,845","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
1229,Plymouth County,Massachusetts,133,"4,99,759","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
1230,Suffolk County,Massachusetts,80,"7,44,426","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
1231,Worcester County,Massachusetts,73,"8,06,163","Worcester, MA-CT Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
1232,Alcona County,Michigan,2386,10635,,
1233,Alger County,Michigan,2471,9541,,
1234,Allegan County,Michigan,536,"1,12,039","Holland, MI Micropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1235,Alpena County,Michigan,1445,29234,"Alpena, MI Micropolitan Statistical Area",
1236,Antrim County,Michigan,1667,23406,,
1237,Arenac County,Michigan,2075,15477,,
1238,Baraga County,Michigan,2551,8683,,
1239,Barry County,Michigan,875,58990,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area","Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
1240,Bay County,Michigan,557,"1,06,935","Bay City, MI Metropolitan Statistical Area","Saginaw-Midland-Bay City, MI Combined Statistical Area"
1241,Benzie County,Michigan,1955,17465,"Traverse City, MI Micropolitan Statistical Area",
1242,Berrien County,Michigan,404,"1,56,067","Niles-Benton Harbor, MI Metropolitan Statistical Area","South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
1243,Branch County,Michigan,1088,43868,"Coldwater, MI Micropolitan Statistical Area",
1244,Calhoun County,Michigan,464,"1,35,099","Battle Creek, MI Metropolitan Statistical Area","Kalamazoo-Battle Creek-Portage, MI Combined Statistical Area"
1245,Cass County,Michigan,951,52242,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
1246,Charlevoix County,Michigan,1561,26023,,
1247,Cheboygan County,Michigan,1570,25835,,
1248,Chippewa County,Michigan,1198,38917,"Sault Ste. Marie, MI Micropolitan Statistical Area",
1249,Clare County,Michigan,1415,30753,,
1250,Clinton County,Michigan,720,76001,"Lansing-East Lansing, MI Metropolitan Statistical Area","Lansing-East Lansing-Owosso, MI Combined Statistical Area"
1251,Crawford County,Michigan,2175,14009,,
1252,Delta County,Michigan,1251,36884,"Escanaba, MI Micropolitan Statistical Area",
1253,Dickinson County,Michigan,1554,26220,"Iron Mountain, MI-WI Micropolitan Statistical Area",
